nomem_encr;cv22n_m1;cv22n_m2;cv22n_m3;cv22n160;cv22n242;cv22n001;cv22n002;cv22n003;cv22n166;cv22n006;cv22n167;cv22n168;cv22n008;cv22n009;cv22n010;cv22n011;cv22n012;cv22n013;cv22n014;cv22n015;cv22n016;cv22n017;cv22n018;cv22n019;cv22n020;cv22n021;cv22n022;cv22n023;cv22n024;cv22n025;cv22n026;cv22n027;cv22n028;cv22n029;cv22n030;cv22n031;cv22n032;cv22n033;cv22n034;cv22n035;cv22n036;cv22n037;cv22n038;cv22n039;cv22n040;cv22n041;cv22n042;cv22n043;cv22n044;cv22n045;cv22n046;cv22n047;cv22n048;cv22n049;cv22n050;cv22n051;cv22n052;cv22n053;cv22n307;cv22n208;cv22n243;cv22n308;cv22n210;cv22n245;cv22n246;cv22n251;cv22n248;cv22n250;cv22n249;cv22n247;cv22n253;cv22n304;cv22n255;cv22n252;cv22n321;cv22n322;cv22n254;cv22n257;cv22n256;cv22n323;cv22n324;cv22n260;cv22n259;cv22n261;cv22n262;cv22n263;cv22n065;cv22n066;cv22n067;cv22n068;cv22n069;cv22n070;cv22n071;cv22n072;cv22n073;cv22n075;cv22n211;cv22n216;cv22n213;cv22n215;cv22n214;cv22n212;cv22n218;cv22n305;cv22n220;cv22n217;cv22n325;cv22n326;cv22n219;cv22n264;cv22n221;cv22n327;cv22n328;cv22n222;cv22n318;cv22n224;cv22n317;cv22n225;cv22n329;cv22n240;cv22n306;cv22n315;cv22n267;cv22n331;cv22n332;cv22n230;cv22n320;cv22n330;cv22n333;cv22n334;cv22n199;cv22n309;cv22n234;cv22n205;cv22n200;cv22n310;cv22n236;cv22n098;cv22n311;cv22n238;cv22n101;cv22n102;cv22n103;cv22n104;cv22n105;cv22n106;cv22n107;cv22n108;cv22n109;cv22n110;cv22n111;cv22n112;cv22n113;cv22n114;cv22n115;cv22n116;cv22n117;cv22n118;cv22n119;cv22n120;cv22n121;cv22n122;cv22n123;cv22n124;cv22n125;cv22n126;cv22n127;cv22n128;cv22n129;cv22n130;cv22n131;cv22n132;cv22n133;cv22n134;cv22n139;cv22n140;cv22n141;cv22n142;cv22n143;cv22n144;cv22n145;cv22n146;cv22n147;cv22n148;cv22n151;cv22n152;cv22n153;cv22n154;cv22n274;cv22n275;cv22n276;cv22n277;cv22n278;cv22n289;cv22n290;cv22n291;cv22n292;cv22n279;cv22n280;cv22n281;cv22n282;cv22n283;cv22n293;cv22n294;cv22n295;cv22n296;cv22n284;cv22n285;cv22n286;cv22n287;cv22n288;cv22n297;cv22n298;cv22n299;cv22n300;cv22n301;cv22n302;cv22n303
824490;202112;202201;202202;57;1;3;1;0;1;0;0; ;1;3;1;4;1;6;6;7;8;5;5;6;6;6;8;8;7;8;6;6;7;5;6;6;7;8;6;6;7;7;6;8;8;8;8;6;6;7;6;2;2;2;1;1;2;1;4; ;100;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;1;1;0;0; ;4;6;1;6;6;5;7;1;6;6;5;3;5;5;5;5;5;3;6;1;4;6;6;6;1;7;5;5;3;5;4;5;5;5;2; ; ; ;1;5; ;2; ; ;2;4;5;2;3;4;1;2;5;1;1;4;1;1;4;4;3;4;4;1;3;4;2;1;1;4;5;4;4;4;3;2;2;2;4;4;2;2;1;1;1;1;3;2;1;1;1;1;3;4;3;4;4;2021-12-15;00:24:58;2021-12-15;00:28:00;1;4;4;3;3;2022-01-10;11:34:04;2022-01-10;11:37:53;1;5;4;4;4;2022-02-22;09:49:41;2022-02-22;09:54:13;182;229;272
824500;202112;202201;202202;55;2;3;1;1;0;0;0; ;1;3;1;3;1;6;5;7;7;4;4;4;5;7;7;7;7;7;8;7;7;6;6;4;7;7;4;4;4;6;7;7;7;8;8;8;7;7;6;2;2;2;2;1;2;1;1; ;100; ; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;1;0;0; ;8;8;4;8;5;6;6;0;7;7;8;6;6;0;6;7;0;8;7;5;7;5;7;7;0;6;8;8;6;7;0;6;8;0;1;1; ;2; ; ; ;2; ; ;7;4;2;4;3;1;4;3;4;3;2;3;2;3;3;3;2;1;3;4;2;4;3;2;2;3;4;4;3;4;3;3;4;4;4;4;4;3;1;1;1;1;3;3;2;2;2;2;3;4;4;4;3;2021-12-20;12:53:40;2021-12-20;12:56:43;2;4;2;4;3;2022-01-14;17:01:15;2022-01-14;17:05:02;2;4;3;4;3;2022-02-07;15:14:57;2022-02-07;15:21:37;183;227;400
824551;202112;202201;202202;73;1;2;1;0;1;0;0; ;1;2;1;2;1;5;5;6;7;5;6;6;6;6;6;6;6;6;6;6;6;5;4;5;6;6;5;6;6;6;5;-9;6;6;6;6;6;6;-9;2;1;1;2;2;2;1;6; ;50;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;5;5;5;6;6;6;5;0;4;5;4;4;3;1;5;5;0;4;4;4;4;6;5;4;0;3;6;-9;4;4;4;-9;-9;0;1;6; ;2; ; ; ;2; ; ;5;5;5;3;3;4;1;2;4;3;4;4;2;4;3;4;2;2;3;3;2;4;4;2;2;4;4;4;4;4;2;2;4;2;4;4;3;2;2;2;2;1;4;4;3;2;2;2;2;4;3;4;5;2021-12-18;11:57:34;2021-12-18;12:03:06;2;4;3;3;5;2022-01-06;11:33:50;2022-01-06;11:39:25;1;5;3;3;5;2022-02-14;12:20:49;2022-02-14;12:29:10;332;335;501
824566;202112;202201;202202;45;2;2;0;0;0;1;0; ;2; ;3; ;3;6;7;7;7;5;5;6;8;7;8;7;8;8;7;6;7;7;7;7;7;7;7;7;7;7;7;7;6;7;8;6;7;7;7;1;1;1;1;1;2;1;5; ;100; ; ; ;0;20;0;0;30;10;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;1; ;0;6;0;3;6;5;7;0;6;0;-9;-9;0;2;4;-9;-9;6;6;0;-9;6;6;8;0;-9;0;-9;2;0;-9;-9;5;2;2; ; ; ;1;5; ;2; ; ;2;5;5;2;3;1;4;3;5;1;1;3;1;4;4;4;4;5;4;2;3;4;4;1;1;5;5;4;4;4;2;3;2;4;2;3;2;1;1;1;1;1;2;2;3;1;1;1;2;4;3;3;4;2021-12-08;12:59:01;2021-12-08;13:01:32;1;4;3;3;4;2022-01-23;13:31:36;2022-01-23;13:34:50;1;5;3;3;4;2022-02-22;00:18:10;2022-02-22;00:21:30;151;194;200
824569;202112;202201;202202;52;1;2;1;1;0;0;0; ;2;1;1;1;2;5;5;6;6;5;5;5;6;5;5;7;7;6;6;5;7;6;5;5;5;6;4;4;4;5;5;6;7;7;6;6;5;7;6;1;1;1;2;1;1;1;-8; ;100;15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;5;5;6;6;6;6;6;0;5;5;6;4;5;3;4;6;3;4;5;5;5;6;5;6;0;5;5;6;4;5;4;4;6;0;2; ; ; ;1;17; ;2; ; ;-9;5;4;3;3;3;4;1;4;2;3;3;3;3;3;3;4;3;3;3;3;4;3;4;3;3;4;4;3;3;3;1;4;3;3;3;3;2;3;2;2;2;4;4;3;1;3;2;5;3;3;1;2;2021-12-20;15:27:12;2021-12-20;15:31:16;5;4;5;1;2;2022-01-05;12:07:24;2022-01-05;12:13:36;1;4;5;4;4;2022-02-21;21:17:52;2022-02-21;21:25:52;244;372;480
824578;202112;202201;202202;75;1;2;1;0;0;0;0; ;2;1;3;1;2;5;6;5;8;6;5;5;7;5;8;8;8;8;6;6;8;5;6;6;6;8;6;6;6;6;6;8;8;8;8;6;6;8;6;1;1;1;2;2;1;1;3; ;100;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0; ;5;6;5;8;7;7;7;4;6;6;4;4;5;3;5;5;5;6;6;5;7;7;7;7;4;6;7;7;7;7;4;6;6;4;2; ; ; ;2; ; ;2; ; ;5;5;5;5;1;3;4;1;3;3;3;5;2;3;3;3;2;3;3;4;3;4;4;3;2;4;4;3;5;2;4;2;4;4;4;4;4;4;2;2;1;1;5;5;4;2;3;2;4;4;3;4;5;2021-12-08;13:51:23;2021-12-08;13:59:23;1;4;4;4;5;2022-01-04;10:19:56;2022-01-04;10:29:47;1;4;3;4;5;2022-02-09;09:20:20;2022-02-09;09:34:09;480;591;829
824597;202112;202201;202202;55;2;3;1;0;1;0;0; ;2;2;1;1;2;7;7;5;3;3;3;-9;-9;2;7;7;8;8;7;7;8;5;6;6;6;3;3;3;-9;-9;3;8;8;8;8;7;7;8;7;1;1;1;2;1;1;1;1; ;100; ; ; ;75;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;1; ;8;5;5;7;5;5;5;0;3;3;-9;-9;-9;-9;-9;5;-9;8;5;5;6;6;5;6;0;-9;-9;-9;-9;-9;-9;-9;-9;1;2; ; ; ;1;1; ;2; ; ;8;4;3;5;3;3;1;4;4;2;2;3;4;2;2;2;4;2;2;4;3;4;4;2;3;3;4;4;4;4;3;2;4;4;2;4;2;2;2;2;2;1;4;3;4;1;2;1;1;5;1;2;2;2021-12-09;11:28:02;2021-12-09;11:33:26;1;5;1;3;3;2022-01-03;18:15:35;2022-01-03;18:20:00;1;5;1;3;3;2022-02-21;16:34:12;2022-02-21;16:44:44;324;265;632
824621;202112;202201;202202;53;2;1;1;0;0;0;0; ;2;1;3;1;3;0;0;0;4;0;0;5;0;0;5;5;5;5;0;0;5;5;0;0;0;4;0;0;0;0;4;5;5;5;5;0;0;5;5;1;1;1;2;2;1;1;2; ;50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ;0;0;0;0;0;0;0;0;1; ;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2; ; ; ;2; ; ;2; ; ;-9;-9;5;5;5;3;2;1;3;5;5;1;3;3;3;1;3;1;3;5;1;3;5;3;3;3;3;3;3;3;3;1;3;3;3;1;3;1;3;2;2;1;3;3;3;3;3;3;1;4;2;3;5;2021-12-22;11:55:57;2021-12-22;11:58:31;1;4;2;3;5;2022-01-12;20:35:03;2022-01-12;20:38:34;1;4;2;3;5;2022-02-20;18:47:13;2022-02-20;18:51:36;154;211;263
824633;202112;202201;202202;42;1;2;1;1;0;0;0; ;2;2;2;2;2;6;6;7;7;6;6;5;7;7;5;6;7;8;6;6;6;6;5;5;6;5;5;5;5;6;6;5;6;7;8;6;5;6;6;2;2;2;2;1;2;1;1; ;80;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;7;6;2;3;4;4;5;3;5;3;3;3;0;0;5;4;0;5;3;2;2;6;4;5;2;4;3;-9;-9;2;1;-9;-9;1;2; ; ; ;1;1; ;2; ; ;5;5;3;4;3;1;4;3;4;2;2;4;1;3;3;4;3;2;4;3;2;4;4;3;2;3;5;4;3;4;3;3;3;3;4;4;3;3;1;1;1;1;3;4;3;1;3;2;1;4;1;2;3;2021-12-08;18:53:59;2021-12-08;18:58:14;1;5;1;3;3;2022-01-17;15:36:30;2022-01-17;15:41:39;1;5;1;2;2;2022-02-22;22:31:40;2022-02-22;22:38:36;255;309;416
824645;202112;202201;202202;75;1;3;1;0;1;0;1;ook  mbv een goed weekblag als de Groene Amsterdammer;1;4;1;3;1;7;7;7;7;7;7;7;7;4;6;7;9;8;5;8;6;3;5;7;7;8;4;5;5;7;5;6;8;9;8;5;7;6;4;2;2;2;1;1;2;1;5; ;100;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;1;0;0; ;2;3;0;1;4;6;8;0;6;2;7;0;0;2;1;1;4;4;3;0;3;3;7;9;0;7;4;7;0;2;4;3;0;5;1;5; ;2; ; ; ;2; ; ;1;5;5;2;2;4;1;3;5;1;1;4;1;5;5;5;4;4;5;1;3;3;1;2;2;4;5;3;2;3;4;2;5;3;2;4;3;3;2;2;2;2;5;3;1;1;1;1;1;4;2;5;4;2021-12-06;12:55:48;2021-12-06;13:02:30;1;5;3;4;4;2022-01-03;14:28:46;2022-01-03;14:34:27;1;4;1;4;4;2022-02-07;12:34:09;2022-02-07;12:41:41;402;341;452
824682;202112;202201;202202;64;2;1;1;0;0;0;0; ;1;3;1;3;1;0;0;1;2;0;0;0;0;2;0;5;5;4;4;2;8;8;0;1;3;3;0;1;0;0;2;2;5;4;4;4;2;8;8;2;1;1;1;1;2;1;11; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;100; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;0;0;2;1;1;2;1;8;6;0;1;2;8;2;7;6;0;0;0;1;2;2;1;1;7;3;6;2;4;8;1;1;6;2;2; ; ; ;1;13; ;2; ; ;8;1;5;5;5;4;2;3;4;3;4;4;1;4;4;3;1;2;3;4;2;3;4;1;2;3;3;2;3;3;4;3;3;3;1;2;2;2;3;2;2;2;4;3;3;1;1;2;5;5;4;5;5;2021-12-13;22:42:06;2021-12-13;22:45:15;3;3;3;3;4;2022-01-24;19:54:56;2022-01-24;20:11:47;1;5;3;5;5;2022-02-19;13:51:15;2022-02-19;13:56:22;189;1011;307
824685;202112;202201;202202;73;1;1;1;0;1;0;0; ;1;4;2;3;1;0;2;3;3;3;3;3;4;4;0;5;5;5;3;3;5;4;0;4;4;3;4;4;2;4;6;1;2;2;3;1;1;4;4;2;1;1;1;1;1;1;1; ;5;17; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;0;1;0;0;0; ;6;3;1;3;6;4;5;0;7;2;8;2;3;3;4;3;3;3;3;3;3;3;3;3;0;5;1;4;2;5;1;7;7;4;2; ; ; ;1;1; ;1;6; ;5;5;5;3;3;2;4;3;5;1;3;3;2;4;4;5;5;5;5;3;4;4;3;3;2;4;4;4;4;4;1;1;1;1;3;3;4;3;1;1;1;1;5;3;3;1;3;1;1;5;1;1;1;2021-12-15;13:37:37;2021-12-15;13:43:39;5;5;5;5;3;2022-01-03;21:45:22;2022-01-03;21:52:13;3;3;3;3;3;2022-02-20;20:37:09;2022-02-20;20:43:43;362;411;394
824688;202112;202201;202202;64;2;1;1;1;1;0;0; ;1;4;1;2;1;3;5;7;7;4;6;3;6;6;7;7;8;7;5;6;8;7;2;5;6;6;4;6;5;6;6;8;8;8;8;6;5;8;8;2;1;2;1;1;2;1;9; ;100; ; ; ; ; ; ; ; ;25; ; ;75; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;1;0;0;0; ;4;5;2;3;5;7;7;0;9;6;7;6;5;5;2;5;5;3;6;2;3;4;7;6;0;8;6;7;7;6;5;5;5;6;2; ; ; ;1;9; ;2; ; ;1;5;4;4;2;2;1;3;5;2;1;3;1;4;4;4;3;4;4;4;3;3;3;2;2;2;4;4;4;4;3;2;3;2;4;4;3;3;1;1;1;1;5;4;2;1;2;1;1;5;2;5;5;2021-12-06;18:49:22;2021-12-06;18:52:36;1;5;2;4;4;2022-01-10;20:09:19;2022-01-10;20:13:19;1;5;2;5;5;2022-02-08;21:59:41;2022-02-08;22:04:39;194;240;298
824707;202201;202201;202202;68;1;2;1;1;1;0;0; ;1;3;1;3;1;3;4;8;4;2;2;4;5;6;2;7;8;9;4;7;6;6;2;2;7;4;2;2;4;6;8;3;7;8;9;3;7;6;6;2;1;1;2;1;1;1;7; ;100;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;1;1;0;0; ;0;3;0;2;7;8;8;0;7;4;7;6;1;2;2;2;3;1;1;1;1;5;7;7;0;3;1;2;1;1;2;2;2;5;2; ; ; ;1;7; ;2; ; ;0;5;5;1;2;4;2;3;5;4;5;5;1;5;5;5;4;5;5;1;3;3;1;3;2;4;5;4;4;4;1;1;1;1;1;3;4;1;1;1;1;1;5;1;1;1;1;1;4;3;3;3;3;2022-01-05;17:01:16;2022-01-05;17:05:29;1;5;3;3;3;2022-01-05;17:05:32;2022-01-17;20:34:59;1;5;4;3;3;2022-02-07;14:16:10;2022-02-07;14:20:17;253;1049367;247
824737;202112;202201;202202;36;2;3;1;1;0;0;0; ;1;3;1;3;1;6;6;6;6;6;6;6;6;7;8;7;8;10;8;8;8;8;6;6;6;7;6;6;6;6;7;8;7;8;10;7;7;7;7;2;2;2;1;1;2;1;6; ;50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ;0;0;0;0;0;0;1;0;0; ;-9;6;2;-9;-9;6;-9;0;7;-9;-9;-9;2;-9;-9;1;-9;-9;-9;2;5;-9;5;-9;0;8;5;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;5;-9;4;3;4;3;1;4;3;5;3;4;2;4;4;4;3;2;4;3;3;4;3;3;3;3;4;4;3;3;4;4;4;4;3;3;3;3;3;3;2;1;4;4;3;2;3;2;3;5;4;3;3;2021-12-19;23:52:21;2021-12-19;23:55:33;5;5;5;3;3;2022-01-19;12:03:34;2022-01-19;12:08:53;2;4;4;3;3;2022-02-21;16:08:49;2022-02-21;16:14:54;192;319;365
824753;202112;202201;202202;29;1;3;1;0;0;0;1;NOS app;1;2;1;3;2;7;8;8;8;4;8;8;9;7;8;8;8;9;8;8;7;5;6;7;8;8;3;7;8;8;6;8;7;7;9;7;7;6;4;2;1;2;2;1;1;1;8; ;100;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;3;2;0;8;4;5;6;0;3;10;-9;-9;5;4;3;-9;-9;3;2;0;3;-9;4;5;0;-9;10;-9;-9;5;-9;-9;-9;0;1;8; ;2; ; ; ;2; ; ;4;3;4;4;1;1;3;2;5;1;3;4;2;3;3;4;4;3;4;3;2;4;4;3;1;2;4;3;3;3;4;4;4;3;5;4;4;3;2;2;1;1;6;6;2;1;1;1;4;3;3;3;3;2021-12-27;11:54:48;2021-12-27;11:58:22;3;4;4;5;4;2022-01-25;19:56:16;2022-01-25;20:02:09;4;2;4;4;4;2022-02-23;19:44:25;2022-02-23;19:51:21;214;353;416
824768;202112;202201;202202;61;2;2;0;0;0;1;0; ;2; ;1; ;2;4;4;6;7;3;5;3;6;2;6;7;7;6;6;5;6;6;4;3;6;6;3;5;4;6;4;6;7;6;6;6;4;6;6;1;1;1;2;2;1;2; ; ;0; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;0;0;7;2;6;0;5;6;6;5;3;5;4;0;7;8;2;0;3;7;0;6;5;3;8;0;4;2;0;3;0;4;5;0;2; ; ; ;1;2; ;2; ; ;5;5;3;1;5;4;2;3;5;1;1;5;1;3;4;4;2;3;4;4;2;2;4;1;1;4;5;5;2;4;3;3;5;1;4;3;4;1;3;3;2;1;4;1;4;1;1;1;1;5;1;3;5;2021-12-09;20:56:52;2021-12-09;21:00:35;3;5;1;1;3;2022-01-03;14:13:27;2022-01-03;14:18:36;1;5;2;5;5;2022-02-09;11:01:03;2022-02-21;12:39:13;223;309;1042690
824789;202112;202201;202202;60;2;3;1;1;0;0;0; ;1;2;1;2;2;7;6;8;7;7;7;4;7;6;7;7;7;8;8;7;7;7;6;6;7;7;6;6;4;7;6;7;7;8;8;8;7;7;7;2;2;1;2;1;2;1;1; ;100; ; ; ;90; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;7;7;3;7;4;3;4;0;4;5;1;1;4;2;5;6;4;7;7;5;7;5;4;5;0;4;5;-9;5;4;5;-9;6;2;2; ; ; ;1;1; ;2; ; ;7;5;3;4;4;1;4;3;4;2;2;2;2;3;3;2;3;2;4;4;2;3;4;2;2;4;4;2;4;4;3;2;3;2;4;4;4;2;2;2;1;1;2;2;2;2;2;2;2;3;3;3;3;2021-12-07;17:11:04;2021-12-07;17:15:55;2;3;3;3;3;2022-01-03;15:04:34;2022-01-03;15:08:40;2;3;4;3;3;2022-02-07;13:59:33;2022-02-07;14:06:01;291;246;388
824810;-9;202202;202202;51;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;6; ;50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ;0;0;0;0;0;0;0;0;1; ;7;7;3;-9;7;7;8;4;7;-9;-9;-9;4;-9;7;7;-9;7;7;3;7;8;6;8;4;-9;-9;-9;-9;-9;-9;-9;-9;4;2; ; ; ;1;6; ;2; ; ;4;5;3;4;5;1;2;4;4;2;2;5;1;4;4;4;2;2;4;4;2;4;4;3;2;4;5;4;4;4;2;4;3;2;2;4;1;2;1;1;1;1;5;2;2;1;2;1; ; ; ; ; ; ; ; ; ;4;3;3;3;3;2022-02-21;12:29:41;2022-02-21;12:37:22;5;3;3;3;3;2022-02-09;14:42:45;2022-02-09;15:00:31; ;461;1066
824816;202201;202201;-9;31;1;3;1;0;0;0;0; ;2;1;3;1;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;2;2;1;2; ; ;50;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;3;2;2;2;2022-01-15;12:47:04;2022-01-15;12:52:13;4;3;2;3;1;2022-01-15;12:43:13;2022-01-15;12:46:57; ; ; ; ; ; ; ; ; ;309;224; 
824826;202112;202201;202202;89;1;3;1;0;1;0;0; ;1;3;1;2;1;6;5;5;6;4;4;5;3;5;4;6;6;6;5;6;7;5;5;5;6;6;5;5;5;4;5;3;6;6;6;5;6;7;5;1;1;1;2;1;1;1;1; ;100;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;7;5;4;4;4;5;3;0;4;4;4;2;3;3;3;5;1;7;6;5;4;4;5;5;0;4;6;3;6;4;3;4;4;1;1;1; ;3; ; ; ;2; ; ;7;5;3;5;3;3;2;1;3;3;4;4;2;3;3;4;4;3;4;4;3;3;4;4;2;2;4;2;4;4;2;2;4;3;4;4;4;4;3;2;1;1;3;2;4;2;2;4;1;5;1;5;5;2021-12-09;14:31:45;2021-12-09;14:41:38;1;5;1;5;5;2022-01-03;20:07:36;2022-01-03;20:20:52;1;5;1;5;5;2022-02-08;19:28:15;2022-02-08;19:43:55;593;796;940
824841;-9;202202;202202;47;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;8; ;100;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;4;4;6;7;7;4;4;0;2;8;0;0;0;0;5;8;4;6;2;5;6;3;2;5;0;6;8;6;6;6;3;3;7;0;1;8; ;1; ; ; ;2; ; ;10;5;2;5;5;3;4;1;5;1;1;2;2;2;4;2;3;1;3;4;2;4;4;1;1;4;5;2;5;4;2;2;4;2;4;4;4;2;2;2;2;1;4;4;2;1;4;1; ; ; ; ; ; ; ; ; ;4;4;4;2;2;2022-02-28;14:42:54;2022-02-28;14:47:05;4;4;4;4;2;2022-02-28;14:33:12;2022-02-28;14:41:21; ;251;489
824847;202112;202201;202202;66;1;3;1;1;0;0;0; ;1;3;1;3;1;5;6;9;9;6;6;6;9;9;9;9;9;9;9;9;9;9;5;6;9;9;7;7;7;10;10;9;9;9;9;9;9;9;9;2;2;2;1;1;2;1;6; ;100;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;7;4;3;3;8;6;4;1;2;5;3;3;3;1;2;7;0;7;4;4;5;8;4;4;0;4;5;4;5;6;0;6;7;0;2; ; ; ;1;6; ;2; ; ;4;5;4;4;5;3;1;4;5;1;2;3;3;3;3;4;3;2;5;4;2;3;3;4;3;4;4;5;4;4;4;3;5;4;4;4;4;2;2;2;2;1;4;2;3;1;3;1;1;4;3;3;3;2021-12-20;19:34:54;2021-12-20;19:37:51;1;4;2;3;3;2022-01-16;17:25:40;2022-01-16;17:29:30;1;5;3;4;4;2022-02-21;20:12:00;2022-02-21;20:19:43;177;230;463
824989;202112;202201;202202;23;1;2;0;1;0;0;0; ;2;2;2;2;3;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;1;1;1;2;2;1;3; ; ;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;-9;4;-9;3;3;3;2;4;4;1;1;5;1;5;5;5;4;3;4;2;2;2;2;1;1;5;5;3;5;5;4;2;2;4;4;4;4;2;3;2;2;1;6;6;2;1;1;1;1;3;1;1;1;2021-12-19;21:42:52;2021-12-19;21:50:35;1;5;1;1;1;2022-01-03;12:43:47;2022-01-03;12:45:27;4;4;4;4;4;2022-02-10;10:05:57;2022-02-10;10:19:51;463;100;834
825021;202112;202201;202202;77;2;5;1;0;1;0;0; ;2;2;3;1;2;1;1;6;6;1;0;1;1;3;4;5;7;5;1;1;5;6;0;0;6;4;1;0;1;1;1;4;5;7;4;1;1;6;6;1;1;1;1;1;2;1;1; ;100; ; ; ;50;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;1; ;4;1;5;5;4;1;0;4;0;5;1;0;5;0;3;5;0;1;0;6;4;-9;-9;3;4;-9;5;-9;-9;5;0;-9;-9;0;2; ; ; ;2; ; ;2; ; ;7;5;3;4;5;1;4;3;5;1;1;3;1;3;3;4;4;1;4;3;4;4;2;1;1;3;5;5;4;4;3;3;1;1;5;5;4;5;2;2;2;2;5;4;1;1;1;1;1;4;3;3;3;2021-12-27;10:19:45;2021-12-27;10:25:32;1;4;3;3;2;2022-01-04;11:55:00;2022-01-04;12:01:55;1;5;3;3;3;2022-02-07;14:39:39;2022-02-07;14:47:23;347;415;464
