nomem_encr;cv23o_m1;cv23o_m2;cv23o_m3;cv23o160;cv23o242;cv23o001;cv23o002;cv23o003;cv23o335;cv23o166;cv23o336;cv23o006;cv23o167;cv23o168;cv23o008;cv23o009;cv23o010;cv23o011;cv23o012;cv23o013;cv23o014;cv23o015;cv23o016;cv23o017;cv23o018;cv23o019;cv23o020;cv23o021;cv23o022;cv23o023;cv23o024;cv23o025;cv23o026;cv23o027;cv23o028;cv23o029;cv23o030;cv23o031;cv23o032;cv23o033;cv23o034;cv23o035;cv23o036;cv23o037;cv23o038;cv23o039;cv23o040;cv23o041;cv23o042;cv23o043;cv23o044;cv23o045;cv23o046;cv23o047;cv23o048;cv23o049;cv23o050;cv23o051;cv23o052;cv23o053;cv23o307;cv23o208;cv23o243;cv23o308;cv23o210;cv23o245;cv23o246;cv23o251;cv23o248;cv23o250;cv23o249;cv23o247;cv23o253;cv23o304;cv23o255;cv23o252;cv23o321;cv23o322;cv23o254;cv23o257;cv23o256;cv23o323;cv23o324;cv23o260;cv23o259;cv23o261;cv23o262;cv23o263;cv23o065;cv23o066;cv23o067;cv23o068;cv23o069;cv23o070;cv23o071;cv23o072;cv23o073;cv23o075;cv23o211;cv23o216;cv23o213;cv23o215;cv23o214;cv23o212;cv23o218;cv23o305;cv23o220;cv23o217;cv23o325;cv23o326;cv23o219;cv23o264;cv23o221;cv23o327;cv23o328;cv23o222;cv23o318;cv23o224;cv23o317;cv23o225;cv23o337;cv23o240;cv23o306;cv23o315;cv23o338;cv23o331;cv23o332;cv23o230;cv23o320;cv23o330;cv23o333;cv23o334;cv23o199;cv23o309;cv23o234;cv23o205;cv23o200;cv23o310;cv23o236;cv23o098;cv23o311;cv23o238;cv23o101;cv23o102;cv23o103;cv23o104;cv23o105;cv23o106;cv23o107;cv23o108;cv23o109;cv23o110;cv23o111;cv23o112;cv23o113;cv23o114;cv23o115;cv23o116;cv23o117;cv23o118;cv23o119;cv23o120;cv23o121;cv23o122;cv23o123;cv23o124;cv23o125;cv23o126;cv23o127;cv23o128;cv23o129;cv23o130;cv23o131;cv23o132;cv23o133;cv23o134;cv23o139;cv23o140;cv23o141;cv23o142;cv23o143;cv23o144;cv23o145;cv23o146;cv23o147;cv23o148;cv23o151;cv23o152;cv23o153;cv23o154;cv23o274;cv23o275;cv23o276;cv23o277;cv23o278;cv23o289;cv23o290;cv23o291;cv23o292;cv23o279;cv23o280;cv23o281;cv23o282;cv23o283;cv23o293;cv23o294;cv23o295;cv23o296;cv23o284;cv23o285;cv23o286;cv23o287;cv23o288;cv23o297;cv23o298;cv23o299;cv23o300;cv23o301;cv23o302;cv23o303
831676;202301;202301;-9;47;2;3;1;1;0;1;0;0;0; ;2;2;2;2;2;6;6;6;7;5;5;5;5;5;-9;7;7;7;5;6;7;6;6;6;6;7;5;5;5;5;6;-9;7;6;7;5;6;7;6;1;1;1;2;2;1;1;-8; ;75; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ;0;0;0;0;0;0;0;0;1; ;5;5;3;5;3;5;5;1;-9;3;-9;-9;3;-9;-9;-9;-9;4;5;3;4;2;-9;5;0;-9;-9;-9;-9;-9;-9;-9;-9;1;2; ; ; ;2; ; ;2; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;3;3;28-01-2023;13:45:15;28-01-2023;13:50:18;3;3;3;3;3;28-01-2023;13:50:28;28-01-2023;13:55:38; ; ; ; ; ; ; ; ; ;303;310; 
831677;202212;202301;202302;61;2;2;1;1;0;0;0;0;0; ;2;3;1;2;2;5;6;6;6;4;4;4;5;5;5;5;6;6;5;5;7;6;5;5;6;6;4;4;4;5;6;6;5;6;6;5;5;7;6;1;1;1;2;1;2;1;1; ;100; ; ; ;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0; ;0;1;0;0;0;0;0;0;0; ;6;5;6;6;5;5;4;3;5;5;5;5;5;4;4;7;3;7;4;6;5;5;6;4;2;6;5;4;5;6;5;5;7;3;1;17; ;2; ; ; ;1;17; ;7;5;3;4;4;1;3;4;3;4;4;3;3;3;3;3;3;2;4;3;2;4;4;3;3;3;4;4;3;3;3;3;4;3;4;3;3;3;2;2;2;2;3;3;3;1;4;2;2;4;2;4;4;11-12-2022;12:28:36;11-12-2022;12:34:21;1;5;2;3;3;02-01-2023;17:13:23;02-01-2023;17:19:33;2;5;1;4;3;10-02-2023;21:44:47;10-02-2023;21:54:26;345;370;579
831680;202212;202301;202302;76;1;2;1;1;0;1;0;0;0; ;1;4;1;3;1;6;6;7;7;4;4;3;7;8;6;7;8;7;6;6;7;7;3;5;6;6;3;3;2;6;7;7;7;6;6;5;5;6;6;1;1;1;2;1;1;1;6; ;100;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;1;0;iets anders;2;3;0;3;0;4;4;0;2;0;0;3;2;2;2;2;1;4;4;0;1;7;5;4;0;-9;3;5;-9;-9;4;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;5;5;3;4;5;1;4;2;4;3;3;4;1;4;3;3;4;1;2;4;3;4;4;3;1;3;5;5;3;5;3;1;3;3;4;3;3;4;1;1;1;1;3;4;3;4;2;1;3;3;3;3;3;19-12-2022;14:09:31;19-12-2022;14:18:15;3;3;3;3;3;25-01-2023;19:32:31;25-01-2023;20:01:34;3;3;3;3;3;14-02-2023;15:43:11;14-02-2023;16:00:19;524;1743;1028
831715;202301;202301;202302;25;2;3;1;1;0;0;0;0;0; ;2;3;2;3;2;6;6;6;6;3;4;5;7;3;2;8;8;9;6;4;6;6;5;6;6;6;4;4;4;7;4;2;6;7;9;6;6;6;7;1;1;1;2;1;2;1;-8; ;70; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1; ;0;0;0;0;0;0;0;0;1; ;6;0;7;5;5;3;0;0;0;0;0;6;0;0;4;4;0;7;0;7;3;7;0;2;0;3;0;0;5;4;2;0;5;0;2; ; ; ;2; ; ;2; ; ;7;4;2;4;3;4;1;3;4;4;2;4;1;3;3;4;1;1;4;5;4;2;5;1;2;3;5;5;5;5;3;3;3;3;4;4;3;2;2;2;1;1;3;3;1;5;1;1;1;5;3;4;4;25-01-2023;18:56:24;25-01-2023;18:59:15;1;5;2;4;5;25-01-2023;19:02:40;25-01-2023;19:05:34;1;5;5;5;5;20-02-2023;13:27:06;20-02-2023;13:30:46;171;174;220
831737;202212;202301;202302;49;2;4;1;1;0;1;0;0;0; ;1;3;1;3;1;7;6;8;9;7;7;7;9;7;8;9;9;9;9;9;9;7;8;7;8;8;7;7;7;9;7;-9;9;9;9;8;9;8;8;2;1;2;1;1;2;1;1; ;100; ; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;1;1;0;0;0;0;0; ;7;6;4;6;0;5;5;0;3;6;5;5;3;2;4;5;0;7;3;1;5;0;6;5;0;4;7;-9;5;2;0;5;6;0;2; ; ; ;1;1; ;2; ; ;8;5;4;3;2;4;3;1;5;1;1;4;1;3;3;4;3;2;4;2;2;4;2;1;1;4;5;4;4;5;3;2;4;2;4;3;3;3;1;1;1;1;2;3;1;1;1;1;2;5;3;5;5;05-12-2022;15:26:28;05-12-2022;15:30:49;3;5;4;5;5;28-01-2023;17:28:24;28-01-2023;17:34:20;1;5;5;5;5;26-02-2023;08:46:06;26-02-2023;08:54:47;261;356;521
831784;202212;202301;202302;75;2;3;1;1;1;1;0;0;0; ;1;3;2;3;2;8;9;9;9;7;7;7;7;7;8;8;8;9;8;8;8;6;8;7;8;8;7;7;7;6;6;8;7;8;9;8;9;8;7;1;1;1;1;1;1;1;4; ;100; ; ; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;2;9;1;5;3;4;4;4;4;5;2;2;1;2;3;4;3;5;9;2;3;4;4;4;4;5;4;4;4;3;1;2;4;2;2; ; ; ;1;4; ;2; ; ;2;4;3;3;3;2;4;1;4;3;3;4;2;4;4;3;3;3;4;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;2;2;2;2;3;3;3;2;2;2;1;5;5;5;5;22-12-2022;19:46:46;22-12-2022;19:52:07;1;5;5;5;5;23-01-2023;14:43:35;23-01-2023;14:52:09;1;5;5;5;5;08-02-2023;10:17:55;08-02-2023;10:31:54;321;514;839
831790;202212;202301;202302;53;2;2;1;0;0;0;0;0;0; ;2;2;3;1;3;2;2;6;6;0;0;2;2;0;4;4;8;4;4;2;8;8;0;0;6;7;0;0;0;3;0;7;3;7;3;3;3;8;8;1;1;1;2;1;1;2; ; ;50; ; ; ;0;0;20;0;0;0;0;20;0;0;0;20;0;0;0;40;0;0;0;0;0; ;0;0;0;0;0;0;0;0;1; ;2;0;7;2;0;0;0;2;0;0;0;5;2;0;5;8;0;1;0;7;0;0;0;0;2;0;0;0;5;0;0;0;8;0;2; ; ; ;1;17; ;2; ; ;10;4;5;5;5;3;2;1;3;3;3;3;2;3;3;2;4;1;4;5;1;1;5;3;3;2;4;3;4;4;3;3;3;3;4;4;4;2;2;2;2;2;5;5;4;2;3;2;3;3;3;3;3;22-12-2022;11:15:58;22-12-2022;11:19:10;3;3;3;3;3;15-01-2023;13:07:48;15-01-2023;13:12:21;3;3;3;3;3;21-02-2023;20:20:05;21-02-2023;20:25:29;192;273;324
831796;202212;202301;202302;35;1;3;1;1;1;0;0;0;0; ;2;3;2;3;2;7;7;8;8;6;7;7;9;9;9;8;9;10;7;8;8;6;6;6;9;6;6;6;7;8;8;8;7;6;8;8;8;9;5;2;2;1;2;1;1;1;8; ;100;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;2;6;0;4;3;4;6;0;6;8;8;0;6;0;2;5;5;6;5;4;4;3;3;6;0;5;8;8;0;8;3;1;4;5;2; ; ; ;1;8; ;2; ; ;5;5;5;3;3;1;3;4;4;2;2;3;3;3;3;3;4;3;5;2;2;5;3;3;1;2;5;4;3;3;1;1;5;3;3;3;2;1;2;2;2;2;4;3;3;1;1;1;3;4;4;5;4;05-12-2022;16:37:41;07-12-2022;20:48:11;1;5;4;5;5;02-01-2023;22:24:45;02-01-2023;22:31:12;3;4;4;4;4;09-02-2023;16:39:25;09-02-2023;16:45:26;187830;387;361
831808;202212;202301;202302;53;1;3;1;1;0;1;0;0;0; ;1;2;1;2;2;6;6;8;9;7;7;6;6;8;9;9;9;8;5;7;9;7;4;4;6;8;4;4;4;5;8;8;8;8;7;6;6;8;8;2;2;1;2;2;2;1;17; ;95;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;6;6;5;6;5;4;3;0;5;6;5;6;6;3;6;7;0;6;7;4;6;3;4;1;0;5;7;5;7;6;5;5;7;0;2; ; ; ;2; ; ;2; ; ;8;4;3;5;4;1;4;3;4;3;3;2;2;2;3;2;3;1;3;4;2;3;4;2;2;3;4;5;4;4;3;3;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;4;4;18-12-2022;16:38:41;18-12-2022;16:44:53;1;4;2;4;4;05-01-2023;14:12:39;05-01-2023;14:17:43;2;4;2;4;4;06-02-2023;14:12:01;06-02-2023;14:19:44;372;304;463
831816;202212;202301;202302;31;1;4;0;1;0;0;0;0;0; ;1;2;3;4;2;5;5;5;3;0;7;7;3;3;6;9;7;6;7;7;7;7;5;5;5;5;5;7;8;4;4;8;9;7;6;7;7;7;7;2;1;2;1;2;1;1;5; ;100;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;7;7;4;5;9;5;6;2;4;5;-9;8;-9;7;-9;-9;-9;7;6;2;5;-9;-9;5;3;-9;-9;-9;-9;-9;-9;-9;-9;8;2; ; ; ;2; ; ;2; ; ;4;4;3;4;3;4;3;2;3;4;5;3;5;2;3;5;5;1;4;3;2;5;2;4;1;1;5;2;5;3;4;5;4;3;4;5;2;1;2;3;2;2;4;1;4;4;2;1;5;2;5;1;2;06-12-2022;19:50:18;10-12-2022;10:29:28;1;4;4;4;4;07-01-2023;15:43:58;07-01-2023;15:49:06;1;5;5;5;5;10-02-2023;17:44:09;10-02-2023;17:57:18;311950;308;789
831823;202212;202301;202302;23;2;2;1;0;0;0;0;0;0; ;2;1;2;1;2;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;1;1;1;1;1;2; ; ;0; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;-9;-9;-9;-9;-9;4;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;1;1;3;3;3;3;3;3;1;5;3;3;3;26-12-2022;07:00:48;26-12-2022;07:05:26;1;5;1;1;3;30-01-2023;06:44:34;30-01-2023;06:49:10;1;5;1;1;1;20-02-2023;13:18:47;20-02-2023;13:21:19;278;276;152
831827;202212;202301;202302;54;1;2;0;1;0;0;0;0;0; ;2;1;2;2;2;4;4;4;6;4;4;4;4;4;5;5;5;5;4;5;5;5;4;4;4;5;4;4;4;4;4;5;5;5;5;5;5;5;5;1;1;1;2;1;1;1;-8; ;20;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;7;-9;2;-9;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;-9;5;3;-9;-9;1;3;4;5;2;3;3;1;3;3;4;2;2;4;3;1;4;3;1;1;5;5;4;5;3;3;3;4;3;4;3;3;1;2;2;2;2;3;3;2;1;1;1;3;3;3;3;3;11-12-2022;13:03:51;11-12-2022;13:07:57;5;4;2;1;2;13-01-2023;10:21:32;13-01-2023;10:25:47;1;5;3;3;3;14-02-2023;14:18:14;14-02-2023;14:25:59;246;255;465
831892;202212;202301;202302;35;1;4;0;1;1;0;0;0;0; ;2;2;2;2;2;7;7;8;8;7;7;7;7;7;8;9;9;9;7;7;7;7;8;8;8;8;8;8;8;8;8;8;9;9;8;8;8;8;8;2;2;2;1;1;2;1;1; ;100;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;8;8;3;6;5;6;6;2;5;7;6;5;4;2;5;5;3;8;8;5;7;5;7;7;2;6;8;-9;6;6;-9;-9;6;2;2; ; ; ;2; ; ;2; ; ;7;5;3;4;3;3;1;4;5;1;4;5;1;2;2;4;4;1;4;3;2;3;4;2;1;2;5;5;3;4;4;2;5;3;4;4;4;3;2;2;2;2;3;1;3;1;1;2;4;4;3;3;3;27-12-2022;09:48:15;27-12-2022;09:50:34;2;5;2;4;3;02-01-2023;12:37:03;02-01-2023;12:42:37;1;5;2;5;4;26-02-2023;13:00:36;26-02-2023;13:03:51;139;334;195
831912;202212;202301;202302;48;2;3;1;1;0;0;0;0;0; ;1;3;2;3;1;6;6;7;8;5;5;4;6;2;8;7;7;8;7;8;8;7;6;6;7;8;5;5;4;6;2;8;7;8;8;7;7;8;6;1;1;1;1;1;2;1;8; ;90; ; ; ;20; ; ;40; ; ; ; ; ;40; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;7;4;2;9;5;4;5;0;0;9;3;5;4;1;5;8;0;8;5;3;7;1;5;2;0;0;10;-9;7;3;1;-9;8;0;2; ; ; ;2; ; ;2; ; ;7;4;4;4;4;1;3;4;4;2;2;4;1;4;4;3;3;1;5;4;2;4;4;3;4;4;4;5;2;2;2;1;1;4;4;4;4;2;2;2;1;1;3;2;3;5;2;2;3;3;3;3;3;25-12-2022;18:51:12;25-12-2022;18:54:29;3;3;3;3;3;13-01-2023;10:23:29;13-01-2023;10:27:31;3;3;3;3;3;19-02-2023;11:57:41;19-02-2023;12:04:16;197;242;395
831933;202301;202301;202303;69;2;3;1;0;0;1;0;0;0; ;2;3;1;2;2;6;6;6;6;6;7;6;7;7;5;7;7;8;6;7;5;5;6;7;7;6;7;7;6;7;7;6;7;7;8;6;6;5;6;2;2;1;2;2;1;1;4; ;90; ; ; ; ;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;5;8;1;3;6;7;8;1;4;5;3;2;1;1;1;1;1;5;8;0;4;5;6;8;0;2;5;4;2;3;2;3;4;2;2; ; ; ;1;4; ;2; ; ;3;5;5;3;4;3;4;2;4;2;2;4;2;4;4;4;3;3;4;3;2;4;3;3;2;4;4;3;3;4;3;2;3;4;2;2;2;2;1;1;1;1;3;4;3;2;2;2;3;3;4;4;3;28-01-2023;18:45:49;28-01-2023;18:51:56;3;4;3;3;3;28-01-2023;18:52:02;28-01-2023;18:58:22;4;4;4;3;4;27-03-2023;17:18:49;27-03-2023;17:25:40;367;380;411
831936;202212;202301;202302;62;1;2;1;0;0;0;0;0;0; ;1;2;2;2;2;5;5;3;3;2;2;2;2;1;8;10;10;10;4;4;6;5;6;6;4;3;3;3;3;3;1;8;10;10;10;2;2;6;4;1;1;1;1;1;2;1;6; ;100;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;0;0; ;2;4;7;2;8;2;6;6;0;1;0;0;1;0;4;5;2;5;4;5;5;5;-9;8;5;-9;-9;-9;-9;-9;-9;-9;-9;0;2; ; ; ;1;6; ;2; ; ;9;4;4;3;3;3;4;1;4;3;4;4;3;3;3;2;4;1;4;5;3;2;4;2;3;2;4;4;2;2;3;4;4;2;4;4;4;2;3;3;2;1;6;6;2;1;1;1;1;5;5;5;5;06-12-2022;12:44:15;06-12-2022;12:47:16;1;5;5;5;5;21-01-2023;17:20:47;21-01-2023;17:25:29;1;5;5;5;5;07-02-2023;12:56:21;07-02-2023;13:04:09;181;282;468
831942;202212;202301;202303;18;2;3;0;0;0;0;0;1;0; ;2; ;2; ;3;4;4;5;8;5;4;5;6;5;8;8;8;6;7;5;7;5;3;5;5;7;5;5;5;5;6;6;8;8;7;6;4;7;6;1;1;1;2;1;2;3; ; ;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;5;5;4;5;5;5;5;5;5;5;5;5;5;-9;-9;-9;-9;2;2;2;3;8;-9;4;4;-9;-9;-9;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;-9;-9;3;-9;-9;4;3;1;5;3;3;5;2;3;3;3;3;3;3;3;3;3;3;1;1;5;5;3;4;3;4;4;3;4;4;4;3;2;2;2;2;1;6;6;2;1;2;1;3;3;3;3;5;05-12-2022;16:05:57;05-12-2022;16:08:48;3;3;1;2;5;23-01-2023;18:55:38;23-01-2023;18:57:59;3;5;5;5;5;17-03-2023;19:25:56;17-03-2023;19:37:23;171;141;687
831967;202212;202301;202303;40;1;4;1;1;0;0;0;0;0; ;2;2;2;2;3;6;7;8;9;7;7;6;8;7;8;9;9;8;6;7;8;8;7;8;8;9;7;7;6;8;7;8;8;9;7;7;8;9;8;2;2;1;2;2;1;1;3; ;90;19; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;6;5;4;7;4;5;4;3;3;7;3;4;6;3;6;9;4;7;5;6;7;7;5;5;4;5;7;-9;-9;-9;-9;-9;8;3;2; ; ; ;2; ; ;2; ; ;-9;5;5;3;4;3;1;4;5;2;2;5;2;3;2;5;4;2;4;3;2;4;2;4;4;4;5;4;4;4;4;3;4;4;4;5;4;4;2;2;2;2;4;4;4;4;2;2;1;5;4;4;4;19-12-2022;20:21:27;19-12-2022;20:27:23;1;5;5;5;5;03-01-2023;09:55:20;03-01-2023;09:58:24;1;5;5;5;5;13-03-2023;09:32:38;13-03-2023;09:39:25;356;184;407
832008;202212;202301;202302;59;2;3;1;0;1;0;0;0;0; ;2;2;2;2;2;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;7;5;2;2;5;5;5;5;5;5;5;7;7;7;7;7;7;7;7;1;1;1;2;1;2;1;8; ;95; ; ; ;30;40; ; ; ;10;10; ;10; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;1;0;0; ;5;5;0;5;3;5;5;0;7;7;2;2;5;5;5;5;0;7;5;1;6;7;6;6;0;5;7;5;-9;7;3;5;5;0;2; ; ; ;1;8; ;2; ; ;5;5;5;3;3;1;3;4;5;2;3;2;1;2;2;4;3;2;4;3;2;3;3;3;1;4;4;4;4;4;3;2;3;3;4;3;3;3;2;2;2;2;3;3;1;1;1;1;2;4;3;1;2;05-12-2022;14:07:33;05-12-2022;14:29:21;2;3;3;2;2;23-01-2023;20:34:11;23-01-2023;20:48:36;3;3;3;3;1;06-02-2023;12:47:32;20-02-2023;08:46:35;1308;865;1195143
832017;202301;202301;202302;68;1;3;1;1;0;1;0;0;0; ;1;2;1;2;1;7;7;8;8;7;7;7;8;8;7;8;8;8;8;7;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;7;8;8;2;2;2;2;1;2;1;5; ;99;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1; ;7;8;1;6;8;8;9;0;8;8;7;6;6;4;7;6;5;8;7;2;6;8;8;9;0;8;7;6;5;7;3;5;6;4;1;5; ;1; ; ; ;2; ; ;2;5;4;3;3;1;4;2;4;2;2;5;1;5;5;5;4;2;4;3;3;4;3;3;2;2;5;4;4;5;4;2;4;2;4;4;4;3;1;1;1;1;3;4;1;1;1;1;2;4;2;4;4;29-01-2023;17:13:06;29-01-2023;17:19:11;2;5;2;4;4;29-01-2023;16:58:56;29-01-2023;17:05:51;4;5;4;4;4;28-02-2023;12:46:55;28-02-2023;12:54:40;365;415;465
832019;202212;202301;202302;79;2;3;1;0;0;1;0;0;0; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;7; ;100; ; ; ; ;30; ; ; ;70; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0; ;0;0;0;0;0;0;0;0;1; ;3;7;3;3;5;7;6;0;3;3;5;-9;-9;-9;-9;5;-9;6;7;1;5;5;-9;5;0;-9;-9;5;-9;-9;-9;-9;-9;-9;2; ; ; ;2; ; ;2; ; ;4;5;4;3;3;4;3;1;5;1;2;4;2;4;4;4;2;3;4;3;2;4;4;2;1;3;4;3;4;4;3;3;4;3;3;3;3;3;2;1;1;1;6;6;3;1;1;1; ; ; ; ; ;26-12-2022;10:47:18; ; ;3;3;2;3;3;08-01-2023;10:48:58;08-01-2023;10:57:24;3;3;3;3;3;11-02-2023;14:42:51;11-02-2023;14:51:49; ;506;538
832052;202212;202301;202302;65;1;3;1;1;1;0;0;0;0; ;1;3;1;3;1;7;8;9;8;6;6;5;6;7;6;8;8;9;8;9;7;6;7;8;9;9;6;5;6;7;7;7;7;8;9;7;9;8;6;2;1;2;2;1;2;1;2; ;100;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;0;0;0;0; ;5;6;7;4;6;6;3;0;1;4;5;6;1;0;5;6;0;4;6;7;3;7;7;2;0;1;5;6;6;2;0;5;7;0;2; ; ; ;1;2; ;2; ; ;4;5;3;5;4;4;1;2;2;4;3;3;3;3;3;2;4;1;4;5;2;4;5;1;2;2;5;5;5;4;3;2;4;2;5;4;4;4;3;3;2;1;4;1;4;2;2;1;3;4;3;4;4;18-12-2022;18:45:29;18-12-2022;18:52:12;2;4;3;4;4;15-01-2023;15:28:16;15-01-2023;15:44:38;3;4;3;4;4;22-02-2023;13:10:55;22-02-2023;13:24:16;403;982;801
832063;202212;-9;-9;-9;-9;3;0;1;0;1;0;0;0; ;2;2;2;3;2;3;3;9;9;6;4;6;8;5;7;7;8;8;8;7;7;5;6;6;8;9;5;5;7;8;5;6;7;8;8;8;8;-9;-9;1;1;1;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;3;3;24-12-2022;23:19:16;24-12-2022;23:22:25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;189; ; 
832067;202212;-9;-9;-9;-9;2;0;0;1;0;0;0;0; ;2;1;2;1;2;4;4;5;6;2;3;1;5;0;6;7;8;7;1;1;8;7;0;0;2;4;0;2;0;-9;1;-9;4;3;-9;0;0;8;7;1;1;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;4;3;3;15-12-2022;23:51:14;15-12-2022;23:54:15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;181; ; 
832086;202212;202302;202302;20;2;3;1;1;1;0;0;0;0; ;2;1;1;1;2;6;6;7;8;5;4;7;7;4;8;8;8;7;6;6;7;7;5;5;7;7;4;4;6;6;6;8;8;8;7;6;6;8;7;1;1;1;2;1;1;1;1; ;39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ;0;0;0;0;0;0;0;0;1; ;5;5;2;5;5;5;5;0;5;3;4;5;1;3;-9;5;3;5;1;1;5;5;-9;4;0;-9;-9;-9;-9;-9;-9;-9;5;1;2; ; ; ;2; ; ;2; ; ;-9;5;5;4;-9;3;1;4;5;1;2;4;2;2;2;4;4;3;4;3;3;4;4;1;3;5;5;4;4;4;4;3;4;4;4;4;4;3;2;2;2;1;6;6;2;2;2;2;1;5;3;4;4;13-12-2022;12:03:06;13-12-2022;12:06:28;1;5;2;3;3;28-02-2023;20:34:52;28-02-2023;20:40:35;1;5;2;4;4;22-02-2023;10:07:50;28-02-2023;20:34:46;202;343;556016
