paper_name,authors_list
A Zero-Knowledge Membership Inference Attack on Aggregate Location Data,"Vincent Guan (Imperial College London), Florent Guépin (Imperial College London), Ana-Maria Cretu (EPFL), and Yves-Alexandre de Montjoye (Imperial College London)"
Media talks Privacy: Unraveling a Decade of Privacy Discourse around the World,"Shujaat Mirza (New York University), Corban Villa (New York University Abu Dhabi), and Christina Poepper (New York University Abu Dhabi)"
Revealing the True Cost of Locally Differentially Private Protocols: An Auditing Perspective,Héber H. Arcolezi (Inria) and Sébastien Gambs (Université du Québec à Montréal (UQAM))
Honesty is the Best Policy: On the Accuracy of Apple Privacy Labels Compared to Apps' Privacy Policies,"Mir Masood Ali (University of Illinois Chicago), David G. Balash (University of Richmond), Monica Kodwani (The George Washington University), Chris Kanich (University of Illinois Chicago), and Adam J. Aviv (The George Washington University)"
Raising the Bar: Improved Fingerprinting Attacks and Defenses for Video Streaming Traffic,"David Hasselquist (Linköping University & Sectra Communications), Ethan Witwer (Linköping University), August Carlson (Linköping University), Niklas Johansson (Linköping University & Sectra Communications), and Niklas Carlsson (Linköping University)"
Decision-based Data Distribution (D³): Enabling Users to Minimize Data Propagation in Privacy-sensitive Scenarios,"Sebastian Linsner (PEASEC - TU Darmstadt), Kilian Demuth (PEASEC - TU Darmstadt), Marc Fischlin (Cryptoplexity - TU Darmstadt), and Christian Reuter (PEASEC - TU Darmstadt)"
Unlinkable Policy-Compliant Signatures for Compliant and Decentralized Anonymous Payments,"Christian Badertscher (Input Output), Mahdi Sedaghat (COSIC, KU Leuven), and Hendrik Waldner (University of Maryland, College Park)"
Subgraph Structure Membership Inference Attacks against Graph Neural Networks,Xiuling Wang (Stevens Institute of Technology) and Wendy Hui Wang (Stevens Institute of Technology)
Onion Services in the Wild: A Study of Deanonymization Attacks,Pascal Tippe (FernUniversität in Hagen) and Adrian Tippe (HTW Berlin)
What to Expect When You’re Accessing: An Exploration of User Privacy Rights in People Search Websites,"Kejsi Take (NYU), Jordyn Young (University of Michigan), Rasika Bhalerao (Northeastern University), Kevin Gallagher (NOVA LINCS, NOVA School of Science and Technology), Andrea Forte (University of Michigan), Damon McCoy (NYU), and Rachel Greenstadt (NYU)"
Efficient Privacy-Preserving Machine Learning with Lightweight Trusted Hardware,"Pengzhi Huang (Cornell University), Thang Hoang (Virginia Tech), Yueying Li (Cornell University), Elaine Shi (CMU), and G. Edward Suh (Cornell University / Meta)"
Johnny Still Can’t Opt-out: Assessing the IAB CCPA Compliance Framework,Muhammad Abu Bakar Aziz (Northeastern University) and Christo Wilson (Northeastern University)
Maui: Black-Box Edge Privacy Attack on Graph Neural Networks,"Haoyu He (The George Washington University), Isaiah J. King (The George Washington University), and H. Howie Huang (The George Washington University)"
Diversity-driven Privacy Protection Masks Against Unauthorized Face Recognition,"Ka Ho Chow (Georgia Institute of Technology), Sihao Hu (Georgia Institute of Technology), Tiansheng Huang (Georgia Institute of Technology), Fatih Ilhan (Georgia Institute of Technology), Wenqi Wei (Fordham University), and Ling Liu (Georgia Institute of Technology)"
Sloth: Key Stretching and Deniable Encryption using Secure Elements on Smartphones,"Daniel Hugenroth (University of Cambridge), Alberto Sonnino (MystenLabs & University College London), Sam Cutler (The Guardian), and Alastair R. Beresford (University of Cambridge)"
"""My Best Friend’s Husband Sees and Knows Everything”: A Cross-Contextual and Cross-Country Approach to Understanding Smart Home Privacy","Tess Despres (UC Berkeley), Marcelino Ayala Constantino (El Colegio de la Frontera Norte), Naomi Zacarias Lizola (El Colegio de la Frontera Norte), Gerardo Sánchez Romero (Mutua Social Research & Innovation), Shijing He (King’s College London), Xiao Zhan (King’s College London), Noura Abdi (Liverpool Hope University), Ruba Abu-Salma (King’s College London), Jose Such (King's College London & Universitat Politecnica de Valencia), and Julia Bernd (International Computer Science Institute)"
"The Devil is in the Details: Detection, Measurement and Lawfulness of Server-Side Tracking on the Web","Imane Fouad (Inria Lille, Univ Lille,), Cristiana Santos (Utrecht University), and Pierre Laperdrix (CNRS, Univ Lille, Inria Lille)"
Understanding Leakage in Searchable Encryption: a Quantitative Approach,"Alexandra Boldyreva (Georgia Institute of Technology), Zichen Gui (ETH Zürich), and Bogdan Warinschi (Dfinity & University of Bristol)"
Post-quantum XML and SAML Single Sign-On,Johannes Müller (CNRS/INRIA Nancy) and Jan Oupický (University of Luxembourg)
Simply tell me how - On Trustworthiness and Technology Acceptance of Attribute-Based Credentials,"Rachel Crowder (Newcastle University), George Price (Newcastle University), and Thomas Gross (Newcastle University)"
Provable Security Analysis of Butterfly Key Mechanism Protocol in IEEE 1609.2.1 Standard,"Alexandra Boldyreva (Georgia Institute of Technology), Virendra Kumar (Qualcomm), and Jiahao Sun (Georgia Institute of Technology)"
Computational Differential Privacy for Encrypted Databases Supporting Linear Queries,"Ferran Alborch Escobar (Orange Innovation), Sébastien Canard (Télécom Paris), Fabien Laguillaumie (Université de Montpellier), and Duong Hieu Phan (Télécom Paris)"
Summary Reports Optimization in the Privacy Sandbox Attribution Reporting API,"Hidayet Aksu (Google), Badih Ghazi (Google Research), Pritish Kamath (Google Research), Ravi Kumar (Google Research), Pasin Manurangsi (Google Research), Adam Sealfon (Google Research), and Avinash V Varadarajan (Google)"
Toward A Practical Multi-party Private Set Union,"Jiahui Gao (Arizona State University), Son Nguyen (Arizona State University), and Ni Trieu (Arizona State University)"
Deniability in Automated Contact Tracing: Impossibilities and Possibilities,Christoph U. Günther (Institute of Science and Technology Austria) and Krzysztof Pietrzak (Institute of Science and Technology Austria)
Scalable Metadata-Hiding for Privacy-Preserving IoT Systems,"Yunang Chen (University of Wisconsin-Madison), David Heath (University of Illinois Urbana-Champaign), Rahul Chatterjee (University of Wisconsin-Madison), and Earlence Fernandes (UC San Diego)"
Are continuous stop-and-go mixnets provably secure?,"Debajyoti Das (KU Leuven), Claudia Diaz (KU Leuven and Nym), Aggelos Kiayias (University of Edinburgh and IOG), and Thomas Zacharias (University of Glasgow)"
AUTOLYCUS: Exploiting Explainable Artificial Intelligence (XAI) for Model Extraction Attacks against Interpretable Models,"Abdullah Caglar Oksuz (Case Western Reserve University), Anisa Halimi (IBM Research - Dublin), and Erman Ayday (Case Western Reserve University)"
Mastodon Administrators’ Experience with Selecting and Using Privacy Policies,"Emma Tosch (Northeastern University), Luis Garcia (Northeastern University), Cynthia Li (Independent (prev. Pomona College)), and Chris Martens (Northeastern University)"
Provable Security for the Onion Routing and Mix Network Packet Format Sphinx,"Philip Scherer (Karlsruhe Institute of Technology), Christiane Weis (NEC Research Labs), and Thorsten Strufe (Karlsruhe Institute of Technology)"
